Case,hc(nm),Pmax(uN),S(uN/nm),A(nm^2),hmax(um),heff(nm),E* (GPa),H(GPa),A,hf(nm),m,X(mm),Y(mm),Drift(nm/s),C (GPa),dP/dh (N/m),Wp/Wt,sy (GPa),md,T (C),Er (GPa),We,Wp,Wt,hr(um),nu,sy code,Er code,s0.033,s0.033 code,K,n,m,ac(hc) method,A(hc) method,Er method
0,146.593346,10003.31028,155.784815,715158.4317,0.194415682,194.752615,163.214531,13.987544,20.617239,106.183604,1.379314,-80.873809,-25.70306,1.128057,264.65564,169781.4796,0.55182121,1.85,9.342351,25,128,368054.1107,453167.5072,821221.618,0.104232594,0.25,2.7299657,146.65561,1.85,2.7118645,3.38,0.146,0.35765807,450.4672306,637494.2616,182.2537932
1,183.375139,10000.84182,171.158474,1049852.31,0.226927036,227.197867,148.002527,9.525951,12.594743,139.902744,1.494004,-80.863809,-25.70306,0.484601,194.2066411,185445.9636,0.634600865,1.85,0.0051,25,128,345121.4979,599384.017,944505.5149,0.14156231,0.25,1.7021614,125.56956,1.85,2.1054823,3.38,0.146,0.35765807,553.4393512,962254.4846,162.030516
2,190.409814,10000.91563,170.355784,1121009.464,0.234172001,234.439354,142.556515,8.921348,16.189447,149.508446,1.446715,-80.853809,-25.70306,0.101847,182.3769,181698.18,0.659227994,1.85,0.657045,25,128,341202.6807,660061.1411,1001263.822,0.148004377,0.25,1.5074657,119.185524,1.85,1.9962327,3.38,0.146,0.35765807,573.1245634,1031924.485,153.3031295
3,220.988833,10000.70096,186.100152,1457123.141,0.261029894,261.292538,136.594568,6.863319,13.857941,180.713384,1.499474,-80.843809,-25.70306,0.033632,146.7742761,200373.5361,0.705696448,1.85,0.006822,25,128,314431.5167,753960.3334,1068391.85,0.18496954,0.25,1.1747496,109.61096,1.85,1.7414601,3.38,0.146,0.35765807,658.6751173,1362989.115,147.1019977
4,213.388132,10000.69178,178.796862,1369501.691,0.255337139,255.338079,135.367196,7.302431,17.207831,174.325594,1.448378,-80.833808,-25.70306,0.008012,153.3917728,170225.0074,0.681954758,1.85,0.214899,25,128,329037.4136,705524.2473,1034561.661,0.175800049,0.25,1.3937024,107.98915,1.85,1.9467446,3.38,0.146,0.35765807,637.4130956,1276414.815,129.1373427
5,157.982089,10000.50851,161.05459,812101.7617,0.204235583,204.552518,158.3444,12.314354,18.304083,117.029477,1.409527,-80.873809,-25.69306,-0.003288,239.7503583,170154.0648,0.59289055,1.85,6.500553,25,128,355387.6296,517565.8964,872953.526,0.118665815,0.25,2.2689605,138.19524,1.85,2.4642787,3.38,0.146,0.35765807,482.3606834,730960.1083,170.5767722
6,200.192918,10000.81817,171.495213,1223796.164,0.243801484,243.929496,137.351146,8.171964,15.275832,158.837511,1.459167,-80.863809,-25.69306,0.047102,168.2530097,179650.4045,0.661025411,1.85,0.222564,25,128,342049.3223,667021.3662,1009070.688,0.156342062,0.25,1.4672322,114.57472,1.85,1.9928551,3.38,0.146,0.35765807,600.4976384,1132850.186,144.6659626
7,225.506299,10000.37689,191.252054,1510481.468,0.264413483,264.723042,137.874273,6.620655,17.566906,188.234751,1.462799,-80.853809,-25.69306,0.044446,143.0372572,195966.5594,0.717444896,1.85,0.034995,25,128,305209.2869,774966.87,1080176.157,0.190837003,0.25,1.1896741,108.11914,1.85,1.7279412,3.38,0.146,0.35765807,671.31158,1415787.749,141.1585845
8,154.094326,10000.82124,166.029051,778335.4605,0.199041147,199.270854,166.738352,12.848986,25.603089,117.619407,1.35554,-80.843809,-25.69306,0.002852,252.4352114,178494.7016,0.588439645,1.85,5.885119,25,128,341397.3854,488122.2247,829519.6101,0.117714899,0.25,2.355184,145.34933,1.85,2.458075,3.38,0.146,0.35765807,471.4745184,698339.0437,183.0697419
9,151.307618,10001.03511,166.084317,754561.4408,0.196394025,196.470078,169.40107,13.254103,18.762586,111.387513,1.412942,-80.833808,-25.69306,0.031783,259.2915776,177741.5814,0.575441545,1.85,0.27356,25,128,348170.9125,471906.7675,820077.68,0.111887189,0.25,2.498291,147.61003,1.85,2.5386496,3.38,0.146,0.35765807,463.6706498,675412.4857,185.3654968
10,218.802212,10000.86275,187.010907,1431638.775,0.258930807,258.910285,138.479357,6.985605,11.804384,177.059849,1.53056,-80.873809,-25.68306,0.035247,149.1660596,201910.3266,0.702334685,1.85,0.234441,25,128,317884.144,750040.5617,1067924.706,0.182024545,0.25,1.1724063,110.443825,1.85,1.7447637,3.38,0.146,0.35765807,652.5584483,1337792.343,149.6196313
11,160.786824,10000.95177,163.560828,836895.2594,0.206557235,206.645689,158.408534,11.950064,17.25999,119.558946,1.424262,-80.863809,-25.68306,0.016963,234.4015666,167259.7042,0.595629466,1.85,0.068007,25,128,353265.5382,520352.8603,873618.3985,0.120241435,0.25,2.2274606,135.43488,1.85,2.460791,3.38,0.146,0.35765807,490.21352,754953.9164,164.9891956
12,168.596315,10000.56166,163.563901,907847.063,0.214242024,214.452529,152.095352,11.01569,16.526463,126.884879,1.43221,-80.853809,-25.68306,0.018495,217.8788462,163336.467,0.614379117,1.85,6.031825,25,128,352316.2393,561317.474,913633.7133,0.129248798,0.25,2.0134673,128.20178,1.85,2.363504,3.38,0.146,0.35765807,512.0760297,823794.2697,154.2404118
13,191.103402,10000.89604,180.202966,1128149.899,0.23254642,232.726868,150.31882,8.864865,17.682431,152.508409,1.445431,-80.843809,-25.68306,0.048608,184.9352066,195372.0858,0.654798086,1.85,0.270974,25,128,324053.1494,614681.9404,938735.0899,0.152735033,0.25,1.5068967,123.934525,1.85,1.9495289,3.38,0.146,0.35765807,575.0653316,1038925.117,164.2838198
14,214.697975,10000.77711,183.743875,1384409.014,0.255477844,255.518834,138.361573,7.22386,12.485163,173.048061,1.515232,-80.833808,-25.68306,0.048194,153.224165,172790.2124,0.691801938,1.85,0.281476,25,128,321769.4574,722265.1991,1044034.657,0.177589779,0.25,1.3478394,107.74918,1.85,1.8915809,3.38,0.146,0.35765807,641.0773145,1291132.136,130.3341413
15,151.93798,10000.29181,168.901653,759907.8391,0.196184551,196.343815,171.667572,13.159875,19.435131,112.811284,1.410837,-80.873809,-25.673059,0.048581,259.8262727,179364.6006,0.587633979,1.85,9.087891,25,128,341097.8028,486074.6245,827172.4273,0.1125744,0.25,2.4014285,148.21045,1.85,2.4700933,3.38,0.146,0.35765807,465.4359687,680565.2303,186.3486531
16,163.701236,10000.41545,167.755043,863043.5939,0.20820588,208.411139,159.990445,11.587382,18.650639,123.960111,1.41665,-80.863809,-25.673059,0.072179,230.691749,183504.081,0.60537357,1.85,5.497053,25,128,346103.2885,530937.0264,877040.3148,0.119144945,0.25,2.0969934,138.9949,1.85,2.308551,3.38,0.146,0.35765807,498.372833,780294.5854,178.0495303
17,224.746316,10000.49037,193.257424,1501438.04,0.26355012,263.55656,139.738896,6.660608,14.642935,185.948793,1.499754,-80.853809,-25.673059,0.257346,143.9775766,208835.3084,0.723114566,1.85,0.067995,25,128,302306.7424,789504.9081,1091811.651,0.189495484,0.25,1.1420846,109.750084,1.85,1.6906903,3.38,0.146,0.35765807,669.1857494,1406835.247,150.9060702
18,152.425956,10000.68584,168.270263,764059.1807,0.197007206,197.000168,170.560595,13.088889,16.53947,111.44596,1.439524,-80.843809,-25.673059,0.107181,257.6710108,165609.3485,0.585825717,1.85,7.719637,25,128,341953.1705,483673.1048,825626.2752,0.1120214,0.25,2.4315524,142.86441,1.85,2.5556197,3.38,0.146,0.35765807,466.8025137,684567.449,171.5541105
19,224.450413,10000.4585,191.828327,1497924.249,0.263594715,263.549664,138.868147,6.676211,13.95587,185.004904,1.506642,-80.833808,-25.673059,0.046342,143.9284058,223866.474,0.715653909,1.85,0.30135,25,128,307650.0563,774306.2851,1081956.341,0.188582532,0.25,1.1220998,114.08993,1.85,1.6832825,3.38,0.146,0.35765807,668.3580441,1403357.214,161.9680469
20,176.780105,10001.02754,169.288987,985230.6143,0.220941158,221.087598,151.11048,10.150951,20.75472,138.421319,1.399305,-80.873809,-25.663059,0.068291,204.8761345,188141.7926,0.62087624,1.85,0.240371,25,128,340788.9061,558096.7393,898885.6454,0.134514183,0.25,1.8387874,130.65945,1.85,2.169609,3.38,0.146,0.35765807,534.9824056,899143.2147,170.0572861
21,155.723181,10000.65221,163.340492,792397.555,0.201420399,201.64253,162.576259,12.620751,22.60749,117.494037,1.374396,-80.863809,-25.663059,0.047495,246.5025523,165943.5744,0.585332993,1.85,0.320267,25,128,351395.5486,496020.6727,847416.2213,0.116487136,0.25,2.37489,139.26486,1.85,2.538437,3.38,0.146,0.35765807,476.0356408,711916.0955,168.5661767
22,219.585529,10000.65082,185.89938,1440742.369,0.259960647,259.932561,137.220692,6.941318,15.05558,180.110991,1.483781,-80.853809,-25.663059,0.073621,147.9834151,201811.8527,0.703101909,1.85,6.939122,25,128,317512.5746,751920.2861,1069432.861,0.183305488,0.25,1.1717784,110.1714,1.85,1.7435591,3.38,0.146,0.35765807,654.749645,1346791.653,149.0461847
23,148.098321,10001.00252,164.412274,727626.0398,0.193722911,193.719926,170.771324,13.744701,15.875178,106.071024,1.440911,-80.843809,-25.663059,0.057261,266.4903971,175878.9577,0.562916026,1.85,0.138499,25,128,357733.3566,460721.1697,818454.5263,0.101846039,0.25,2.6412892,149.47414,1.85,2.623631,3.38,0.146,0.35765807,454.6824964,649480.8408,187.0488804
24,152.886266,10000.64166,159.55799,767985.2296,0.199790078,199.894136,161.315817,13.021919,24.192936,114.900859,1.356049,-80.833808,-25.663059,0.062831,250.5417076,163859.1069,0.588512699,1.85,6.894104,25,128,357285.2672,510992.4803,868277.7474,0.113128518,0.25,2.375931,139.87067,1.85,2.5404232,3.38,0.146,0.35765807,468.0915626,688353.4583,169.2736021